row_index,BX,BY,EX,EY,mode,start_obstime,end_obstime,time_source,time_delta_days,conversion_ok,accepted,reject_reason,effective_b0_deg,effective_b0_source,start_radius_fraction,end_radius_fraction,latitude_deg,delta_lat_deg,cmd_start_deg,cmd_end_deg,abs_cmd_deg,synodic_delta_lon_deg,carrington_delta_lon_deg,synodic_rate_deg_per_day,sidereal_rate_deg_per_day,sidereal_rate_nhz,sidereal_period_days
32,1377.0,350.0,1515.0,350.0,pooled,,,folder_dates,1.0,True,False,latitude_cut;cmd_cut;delta_lat_cut;sidereal_rate_cut,-7.213482505185651,auto_from_2026-02-28T18_38_25_rotated.tif,0.8453832500742919,0.9265340965656716,43.30399636691155,1.5615696093018414,32.15320300243935,49.41992544683667,49.41992544683667,17.266722444397317,4.067972613375833,17.266722444397317,18.2523697764964,586.8174439460006,19.72346629003607
33,1372.0,1196.0,1516.0,1205.0,pooled,,,folder_dates,1.0,True,False,sidereal_rate_cut,-7.213482505185651,auto_from_2026-02-28T18_38_25_rotated.tif,0.4313172473959679,0.5824861573091589,-17.591892208943115,0.07812381144909608,23.936548729584548,34.98506247279135,34.98506247279135,11.048513743206797,-2.1502360878146867,11.048513743206797,12.034161075305882,386.90075473591446,29.914839742233514
34,1346.0,441.0,1437.0,465.0,pooled,,,folder_dates,1.0,True,False,delta_lat_cut;sidereal_rate_cut,-7.213482505185651,auto_from_2026-02-28T18_38_25_rotated.tif,0.7400141807116408,0.7722422059764397,33.185654269393225,-1.4909081036625977,25.544283515736286,32.93848472191527,32.93848472191527,7.394201206178991,-5.804548624842493,7.394201206178991,8.379848538278075,269.4138547543106,42.96020367857081
35,1339.0,768.0,1511.0,787.0,pooled,,,folder_dates,1.0,True,False,delta_lat_cut,-7.213482505185651,auto_from_2026-02-28T18_38_25_rotated.tif,0.4510084721768635,0.6017854094379039,9.528902677772733,-0.5320636398948757,20.804319772709132,33.24774380906867,33.24774380906867,12.443424036359545,-0.7553257946619389,12.443424036359545,13.42907136845863,431.7474076793541,26.807512606236177
36,1336.0,773.0,1513.0,788.0,pooled,,,folder_dates,1.0,True,True,,-7.213482505185651,auto_from_2026-02-28T18_38_25_rotated.tif,0.44492335308843567,0.6033005925227254,9.329804277277322,-0.24516564523276152,20.575316312644116,33.39617119859135,33.39617119859135,12.820854885947227,-0.3778949450742566,12.820854885947227,13.806502218046312,443.88188715426674,26.07467078297705
37,1336.0,1101.0,1510.0,1121.0,pooled,,,folder_dates,1.0,True,False,delta_lat_cut,-7.213482505185651,auto_from_2026-02-28T18_38_25_rotated.tif,0.35706796392871415,0.5506505692203687,-11.944032410790825,-0.5605867054935789,20.730694690617078,33.5406158750808,33.5406158750808,12.809921184463718,-0.3888286465577657,12.809921184463718,13.795568516562803,443.5303664018391,26.095336308017178
38,1329.0,697.0,1379.0,805.0,pooled,,,folder_dates,1.0,True,False,delta_lat_cut;sidereal_rate_cut,-7.213482505185651,auto_from_2026-02-28T18_38_25_rotated.tif,0.4968468477543727,0.4634625452657394,11.021593778747935,-7.087744274797201,20.496008850741934,23.44245101099696,23.44245101099696,2.9464421602550317,-10.252307670766452,2.9464421602550317,3.932089492354115,126.41748625109682,91.5543760384941
39,1327.0,779.0,1512.0,786.0,pooled,,,folder_dates,1.0,True,True,,-7.213482505185651,auto_from_2026-02-28T18_38_25_rotated.tif,0.43295425014203215,0.6032709196282677,9.180441065538393,0.30920981590757,19.93096310007461,33.33267763623788,33.33267763623788,13.401714536163269,0.20296470514178466,13.401714536163269,14.387361868262353,462.55664442715903,25.02196047450076
40,1324.0,769.0,1509.0,784.0,pooled,,,folder_dates,1.0,True,True,,-7.213482505185651,auto_from_2026-02-28T18_38_25_rotated.tif,0.4374801582802229,0.6012589672337638,9.566947204635415,-0.22987397835554724,19.76418403573252,33.113943487885734,33.113943487885734,13.349759452153222,0.15100962113173821,13.349759452153222,14.335406784252307,460.88627778588955,25.11264629026546
41,1270.0,1622.0,1355.0,1677.0,pooled,,,folder_dates,1.0,True,False,latitude_cut;delta_lat_cut,-7.213482505185651,auto_from_2026-02-28T18_38_25_rotated.tif,0.7184688795377274,0.8134441333150614,-50.37133405103925,-4.162241952457492,24.255507083131647,37.120163597547645,37.120163597547645,12.864656514415998,-0.334093316605486,12.864656514415998,13.850303846515082,445.2901185222185,25.99220955651314
42,1244.0,1151.0,1445.0,1162.0,pooled,,,folder_dates,1.0,True,True,,-7.213482505185651,auto_from_2026-02-28T18_38_25_rotated.tif,0.28225065473576044,0.4922673668788407,-15.1256690282069,-0.057157617303246866,14.665936072686975,28.98826906112852,28.98826906112852,14.32233298844153,1.1235831574200468,14.32233298844153,15.307980320540615,492.1547170955702,23.517145466730405
43,1243.0,771.0,1420.0,785.0,pooled,,,folder_dates,1.0,True,False,sidereal_rate_cut,-7.213482505185651,auto_from_2026-02-28T18_38_25_rotated.tif,0.3717990961544078,0.5139258244984579,9.15062735090657,-0.3820217995965933,14.276632514720754,26.451175891665,26.451175891665,12.174543376944257,-1.0242064540772269,12.174543376944257,13.160190709043341,423.10283915391403,27.355226680158772
44,1238.0,1679.0,1339.0,1695.0,pooled,,,folder_dates,1.0,True,False,latitude_cut;delta_lat_cut,-7.213482505185651,auto_from_2026-02-28T18_38_25_rotated.tif,0.7656361834658149,0.823621931725809,-53.78917546511097,-0.7833787122566918,23.502055708165905,36.73086568552524,36.73086568552524,13.228809977359333,0.030060146337849147,13.228809977359333,14.214457309458417,456.9977272845428,25.326327425842212
45,1234.0,1674.0,1334.0,1699.0,pooled,,,folder_dates,1.0,True,False,latitude_cut;delta_lat_cut,-7.213482505185651,auto_from_2026-02-28T18_38_25_rotated.tif,0.758979171463914,0.8253132588954585,-53.77444955286042,-1.6195510436910538,22.792762693865935,36.468190691385516,36.468190691385516,13.675427997519591,0.47667816649810746,13.675427997519591,14.661075329618676,471.3565885294071,24.55481551702547
46,1154.0,1647.0,1138.0,1693.0,pooled,,,folder_dates,1.0,True,False,latitude_cut;delta_lat_cut;sidereal_rate_cut,-7.213482505185651,auto_from_2026-02-28T18_38_25_rotated.tif,0.7071320969020822,0.754048333257815,-52.965143584191566,-4.224198733534614,13.226465881810675,12.783214322294075,13.226465881810675,-0.44325155951659667,-13.64200139053808,-0.44325155951659667,0.5423957725824871,17.43813569259539,663.7219871496169
47,1126.0,1087.0,1337.0,1097.0,pooled,,,folder_dates,1.0,True,True,,-7.213482505185651,auto_from_2026-02-28T18_38_25_rotated.tif,0.13320827468458724,0.35711118025305283,-11.292938125471363,-0.22567908661823033,6.633948425551257,20.78022698902293,20.78022698902293,14.146278563471668,0.9475287324501842,14.146278563471668,15.131925895570753,486.49453110759885,23.790758855445834
48,1121.0,1102.0,1330.0,1096.0,pooled,,,folder_dates,1.0,True,False,delta_lat_cut,-7.213482505185651,auto_from_2026-02-28T18_38_25_rotated.tif,0.13830097792071883,0.3492849839314596,-11.752678452298753,0.7792854655268275,6.329389629539305,20.29157641983496,20.29157641983496,13.962186790295647,0.7634369592741628,13.962186790295647,14.947834122394731,480.5759427210241,24.083756686906952
49,1112.0,331.0,1288.0,333.0,pooled,,,folder_dates,1.0,True,False,latitude_cut;sidereal_rate_cut,-7.213482505185651,auto_from_2026-02-28T18_38_25_rotated.tif,0.7761832862328075,0.8219045933037649,43.42936185901628,0.4292041369226496,7.7102882368203955,23.91348177205299,23.91348177205299,16.2031935352326,3.0044437042111163,16.2031935352326,17.188840867331685,552.6247706832461,20.943820632152068
50,1111.0,147.0,1203.0,155.0,pooled,,,folder_dates,1.0,True,False,latitude_cut;delta_lat_cut;sidereal_rate_cut,-7.213482505185651,auto_from_2026-02-28T18_38_25_rotated.tif,0.9792274606816777,0.9858267195545342,69.89743425344304,-0.73748478098085,16.636074199167563,34.658174064793705,34.658174064793705,18.02209986562613,4.823350034604648,18.02209986562613,19.007747197725216,611.1029834659599,18.93964583257313
51,1094.0,377.0,1217.0,433.0,pooled,,,folder_dates,1.0,True,False,latitude_cut;delta_lat_cut;sidereal_rate_cut,-7.213482505185651,auto_from_2026-02-28T18_38_25_rotated.tif,0.7230841011140755,0.6907948543990449,36.446163816400684,-4.686905759650081,5.726805411222018,15.009565410030143,15.009565410030143,9.282759998808132,-3.915989832213352,9.282759998808132,10.268407330907216,330.1314085296816,35.05899098065814
52,1088.0,1451.0,1327.0,1465.0,pooled,,,folder_dates,1.0,True,False,latitude_cut;sidereal_rate_cut,-7.213482505185651,auto_from_2026-02-28T18_38_25_rotated.tif,0.4797440161040618,0.5945119380167605,-35.73094398434108,-0.4394179420927813,5.011742827204897,24.574923048709373,24.574923048709373,19.563180221504467,6.364430390482983,19.563180221504467,20.54882755360355,660.6490340021719,17.51924770699964
53,1053.0,407.0,1247.0,420.0,pooled,,,folder_dates,1.0,True,False,latitude_cut;delta_lat_cut;sidereal_rate_cut,-7.213482505185651,auto_from_2026-02-28T18_38_25_rotated.tif,0.6863123861318726,0.7153907677747064,35.69329540266685,-0.7577723239882701,2.284723321206098,17.67709090499014,17.67709090499014,15.39236758378405,2.1936177527625667,15.39236758378405,16.378014915883135,526.5565495075597,21.980685806487926
